#original alias
Thyroid	Thyroid cancer
BCL	B-Cell Lymphoma
Lung squamous cell	lung squamous cell carcinoma
BOCA	Bone Cancer
Neoplasm of lung	lung adenocarcinoma
BT	Biliary Tract Cancer
non-small cell lung cancer	non-small cell lung carcinoma
APML	Acute Promyelocytic Leukaemia
Advanced Solid Tumor	Cancer
LINC	Liver Cancer
RT	Rhabdoid Tumor
Malignant peripheral nerve sheat tumor	malignant peripheral nerve sheath tumor
salivary duct carcinoma	salivary gland carcinoma
UVM	Uveal Melanoma
Billiary tract	biliary tract neoplasm
L	Lung Cancer
lung	Lung Cancer
T Lymphoblastic Leukemia/Lymphoma	acute T cell leukemia
BTCA	Biliary Tract Cancer
Solid tumor	Cancer
Neoplasm of respiratory system	respiratory system cancer
PACA	Pancreatic Cancer
EOPC	Early Onset Prostate Cancer
BRCA	Breast Cancer
OV	Ovarian Cancer
OS	Osteosarcoma
KICH	Kidney Chromophobe
DLBC	Lymphoid Neoplasm Diffuse Large B-cell Lymphoma
GBM	Glioblastoma Multiforme
STAD	Stomach Adenocarcinoma
Neoplasm of breast	Breast Cancer
Non-small cell lung	non-small cell lung carcinoma
Neoplasm of colon	Neoplasm of the colon
WT	Wilms Tumor
AML	Acute Myeloid Leukemia
Acute myeloid leukaemia, disease	Acute Myeloid Leukemia
MALY	Lymphoma
Malignant Lymphoma	Lymphoma
Gastrointestinal stromal	Gastrointestinal stromal tumor
CER	cervical cancer
SKCM	Skin Cutaneous Melanoma
GACA	Gastric Cancer
SKCA	Skin Adenocarcinoma
Neoplasm of colorectum	rectal neoplasm
PRAD	Prostate Cancer
Tumour of prostate	Prostate Cancer
CLLE	Chronic Lymphocytic Leukemia
Chronic lymphoid leukaemia, disease	Chronic Lymphocytic Leukemia
Ovary	ovarian cancer
UCS	Uterine Carcinosarcoma
ESCA	Esophageal Cancer
COREAD	Colorectal adenocarcinoma
PAAD	Pancreatic Cancer
MELA	Skin Cancer
UC	bladder urachal urothelial carcinoma
ESAD	Esophageal Adenocarcinoma
ACC	Adrenocortical Carcinoma
Neoplasm of digestive system	gastrointestinal system cancer
READ	Rectum Adenocarcinoma
BCC	Basal cell carcinoma
UTCA	Uterine Cancer
All Solid Tumors	Cancer
Neoplasm of rectum	rectum cancer
CML - Chronic myeloid leukaemia	chronic myeloid leukemia
CCSK	Clear Cell Sarcoma of the Kidney
LIRI	Liver Cancer
HNSC	Head and Neck Squamous Cell Carcinoma
COCA	Colorectal Cancer
NBL	Neuroblastoma
UCEC	Uterine Corpus Endometrial Carcinoma
CH	Cholangiocarcinoma
LUSC	Lung Cancer
LICA	Liver Cancer
urothelial carcinoma	bladder urachal urothelial carcinoma
MM - Malignant melanoma of skin	skin melanoma
ALL	Acute Lymphoblastic Leukemia
ALL - Acute lymphoblastic leukaemia	Acute Lymphoblastic Leukemia
Any cancer type	Cancer
LMS	Soft tissue cancer
Solid tumors	Cancer
PAEN	Pancreatic Endocrine Neoplasms
RECA	Renal Cancer
LGG	Brain Lower Grade Glioma
THCA	Thyroid Cancer
BLCA	Bladder Cancer
PCPG	Pheochromocytoma and Paraganglioma
B Lymphoblastic Leukemia/Lymphoma	B-cell adult acute lymphocytic leukemia
Malignant tumor of breast	Breast Cancer
CESC	Cervical Squamous Cell Carcinoma
LIHM	Liver Cancer
THYM	Thymoma
CA - Carcinoma of breast	Breast Cancer
LIHC	Liver Hepatocellular Carcinoma
CHOL	Cholangiocarcinoma
TH	Thyroid Cancer
COAD	Colon Adenocarcinoma
ORCA	Oral Cancer
Diffuse Large B Cell Lymphoma	diffuse large B-cell lymphoma
CNS	central nervous system cancer
TGCT	Testicular Germ Cell Tumors
PTC - Papillary thyroid carcinoma	papillary thyroid carcinoma
LIAD	Benign Liver Tumour
MESO	Mesothelioma
CMDI	Chronic Myeloid Disorders
Malignant neoplastic disease	Cancer
Neoplasm of respiratory tract	respiratory system cancer
Carcinoma of ovary	ovarian cancer
SARC	Sarcoma
KIRP	Kidney Renal Papillary Cell Carcinoma
NKTL	Blood Cancer
LAML	Acute Myeloid Leukemia
All Tumors	Cancer
LUAD	Lung Adenocarcinoma
KIRC	Kidney Renal Clear Cell Carcinoma
PBCA	Pediatric Brain Cancer
BREAST-OVARIAN CANCER, FAMILIAL, SUSCEPTIBILITY TO, 1; BROVCA1 (604370	Breast Cancer
BREAST-OVARIAN CANCER, FAMILIAL, SUSCEPTIBILITY TO, 1; BROVCA1 (604370)	Breast Cancer
BREAST-OVARIAN CANCER, FAMILIAL, SUSCEPTIBILITY TO, 2; BROVCA2 (612555)	Breast Cancer
BREAST-OVARIAN CANCER, FAMILIAL, SUSCEPTIBILITY TO, 2; BROVCA2 (612555	Breast Cancer
Leukaemia	leukemia
HIV - Human immunodeficiency virus infection	human immunodeficiency virus infectious disease
HF - Heart failure	Heart failure
Plasmacytic myeloma	multiple myeloma
Ovarian Ca	Ovarian Cancer
Myeloproliferative disorder	myeloproliferative neoplasm
Diffuse malignant lymphoma - histiocytic	Diffuse lymphoma
Follicular non-Hodgkin lymphoma	non-Hodgkin lymphoma
MDS - Myelodysplastic syndrome	myelodysplastic syndrome
Grawitz tumor	Renal cell carcinoma
mCRC - Metastatic colorectal cancer	colorectal cancer
M4 - Acute myelomonocytic leukaemia	acute myeloid leukemia
Acute myeloid leukaemia with 11q23 abnormality	acute myeloid leukemia
Triple Negative Breast Cancer	triple-receptor negative breast cancer
Myelomonocytic leukaemia	myeloid leukemia
CA - Cancer of pancreas	Pancreatic Cancer
Metastasis from malignant melanoma of skin	skin melanoma
Non-small cell carcinoma of lung, TNM stage 4	non-small cell lung carcinoma
Renal tumour	kidney cancer
Local recurrence of malignant tumor of breast	breast cancer
Burkitt's tumour	Burkitt lymphoma
Diffuse non-Hodgkin's lymphoma, lymphoblastic	non-Hodgkin's lymphoma
Cancer of stomach	stomach cancer
Primary adenocarcinoma of colon	colon adenocarcinoma
Neoplasm of brain	brain cancer
Leukaemia in remission	leukemia
Philadelphia chromosome positive chronic myelogenous leukaemia	atypical chronic myeloid leukemia
Extranodal marginal zone B-cell lymphoma of mucosa-associated lymphoid tissue	marginal zone B-cell lymphoma
Chronic phase chronic myeloid leukemia	chronic myeloid leukemia
Diffuse non-Hodgkin's lymphoma, small cleaved cell	Burkitt lymphoma
BRAF mutated melanoma	melanoma
Myeloid leukemia in remission	acute myeloid leukemia
Acute myeloid leukemia in remission	acute myeloid leukemia
Tumour of fallopian tube	fallopian tube cancer
[M]Chronic myelomonocytic leukaemia	chronic myelomonocytic leukemia
MF - Myelofibrosis	myelofibrosis
Arteriosclerotic heart disease	arteriosclerotic cardiovascular disease
Peritoneal cancer	peritoneal mesothelioma
Neoplasm of esophagus	esophagus leiomyosarcoma
Waldenstr̦m macroglobulinaemia	lymphoplasmacytic lymphoma
Hormone refractory prostate cancer	refractory hematologic cancer
T-cell lymphoma	peripheral T-cell lymphoma
Drug resistance to insulin	Insulin resistance
Mycotic disease	mycosis
Philadelphia chromosome negative chronic myelogenous leukaemia	atypical chronic myeloid leukemia
Primary adenocarcinoma of pancreas	pancreatic adenocarcinoma
Large cell anaplastic lymphoma	anaplastic large cell lymphoma
MI - Myocardial infarction	myocardial infarction
Tumour of urinary bladder	urinary bladder cancer
MF - Mycosis fungoides	mycosis
Metastasis from malignant tumour of pancreas	pancreas cancer
KRAS mutant colorectal cancer	colorectal cancer
S̩zary's disease	cutaneous T cell lymphoma
Neoplasm of nervous system	autonomic nervous system neoplasm
Neoplasm of central nervous system	central nervous system melanocytic neoplasm
FLT3 AML	acute myeloid leukemia
Neoplasm of endometrium	endometrial cancer
Non-small cell carcinoma of lung, TNM stage 3	non-small cell lung carcinoma
Primary malignant neoplasm of male breast	male breast cancer
Local recurrence of malignant tumour of colon	colon cancer
Osteomyelofibrosis	chronic idiopathic myelofibrosis
Astrocytic tumor of brain	brain stem astrocytic neoplasm
HER2-positive carcinoma of breast	breast carcinoma
CVA - Cerebrovascular accident	cerebrovascular disease
AAMD - Age related macular degeneration	age related macular degeneration
AD - Alzheimer's disease	Alzheimer's disease
